year,season,district_name,mandal_name,crop,normal_area,actual_area
2017-2018,Kharif,Adilabad,Adilabad R,Paddy Irrigated,28,4
2017-2018,Kharif,Adilabad,Mavala,Paddy Irrigated,1,3
2017-2018,Kharif,Adilabad,Adilabad U,Paddy Irrigated,3,6
2017-2018,Kharif,Adilabad,Jainath,Paddy Irrigated,2,0
2017-2018,Kharif,Adilabad,Bela,Paddy Irrigated,7,0
2017-2018,Kharif,Adilabad,Ichoda,Paddy Irrigated,71,36
2017-2018,Kharif,Adilabad,Srikonda,Paddy Irrigated,4,22
2017-2018,Kharif,Adilabad,Gudihathnoor,Paddy Irrigated,24,3
2017-2018,Kharif,Adilabad,Utnoor,Paddy Irrigated,543,145
2017-2018,Kharif,Adilabad,Inderavelly,Paddy Irrigated,120,61
2017-2018,Kharif,Adilabad,Narnoor,Paddy Irrigated,145,21
2017-2018,Kharif,Adilabad,Gadiguda,Paddy Irrigated,49,162
2017-2018,Kharif,Adilabad,Boath,Paddy Irrigated,17,4
2017-2018,Kharif,Adilabad,Bazarhatnoor,Paddy Irrigated,47,35
2017-2018,Kharif,Adilabad,Neradigonda,Paddy Irrigated,62,23
2017-2018,Kharif,Adilabad,Bheempur,Paddy Irrigated,0,0
2017-2018,Kharif,Adilabad,Tamsi,Paddy Irrigated,8,12
2017-2018,Kharif,Adilabad,Talamadugu,Paddy Irrigated,45,19
2017-2018,Kharif,Adilabad,Adilabad R,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Mavala,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Jainath,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Bela,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Ichoda,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Srikonda,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Utnoor,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Narnoor,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Boath,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Bheempur,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Tamsi,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Paddy Rainfed,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Jowar,798,90
2017-2018,Kharif,Adilabad,Mavala,Jowar,3,4
2017-2018,Kharif,Adilabad,Adilabad U,Jowar,0,1
2017-2018,Kharif,Adilabad,Jainath,Jowar,583,9
2017-2018,Kharif,Adilabad,Bela,Jowar,666,147
2017-2018,Kharif,Adilabad,Ichoda,Jowar,796,157
2017-2018,Kharif,Adilabad,Srikonda,Jowar,96,85
2017-2018,Kharif,Adilabad,Gudihathnoor,Jowar,633,17
2017-2018,Kharif,Adilabad,Utnoor,Jowar,1400,163
2017-2018,Kharif,Adilabad,Inderavelly,Jowar,1515,972
2017-2018,Kharif,Adilabad,Narnoor,Jowar,1258,523
2017-2018,Kharif,Adilabad,Gadiguda,Jowar,112,449
2017-2018,Kharif,Adilabad,Boath,Jowar,273,59
2017-2018,Kharif,Adilabad,Bazarhatnoor,Jowar,179,65
2017-2018,Kharif,Adilabad,Neradigonda,Jowar,796,21
2017-2018,Kharif,Adilabad,Bheempur,Jowar,37,123
2017-2018,Kharif,Adilabad,Tamsi,Jowar,913,109
2017-2018,Kharif,Adilabad,Talamadugu,Jowar,369,11
2017-2018,Kharif,Adilabad,Adilabad R,Maize,10,0
2017-2018,Kharif,Adilabad,Mavala,Maize,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Maize,0,0
2017-2018,Kharif,Adilabad,Jainath,Maize,0,0
2017-2018,Kharif,Adilabad,Bela,Maize,0,0
2017-2018,Kharif,Adilabad,Ichoda,Maize,17,13
2017-2018,Kharif,Adilabad,Srikonda,Maize,4,11
2017-2018,Kharif,Adilabad,Gudihathnoor,Maize,24,21
2017-2018,Kharif,Adilabad,Utnoor,Maize,148,91
2017-2018,Kharif,Adilabad,Inderavelly,Maize,49,52
2017-2018,Kharif,Adilabad,Narnoor,Maize,106,15
2017-2018,Kharif,Adilabad,Gadiguda,Maize,12,63
2017-2018,Kharif,Adilabad,Boath,Maize,18,4
2017-2018,Kharif,Adilabad,Bazarhatnoor,Maize,73,18
2017-2018,Kharif,Adilabad,Neradigonda,Maize,15,30
2017-2018,Kharif,Adilabad,Bheempur,Maize,0,1
2017-2018,Kharif,Adilabad,Tamsi,Maize,3,0
2017-2018,Kharif,Adilabad,Talamadugu,Maize,14,9
2017-2018,Kharif,Adilabad,Adilabad R,Horsegram,0,0
2017-2018,Kharif,Adilabad,Mavala,Horsegram,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Horsegram,0,0
2017-2018,Kharif,Adilabad,Jainath,Horsegram,0,0
2017-2018,Kharif,Adilabad,Bela,Horsegram,0,0
2017-2018,Kharif,Adilabad,Ichoda,Horsegram,0,0
2017-2018,Kharif,Adilabad,Srikonda,Horsegram,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Horsegram,0,0
2017-2018,Kharif,Adilabad,Utnoor,Horsegram,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Horsegram,0,0
2017-2018,Kharif,Adilabad,Narnoor,Horsegram,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Horsegram,0,0
2017-2018,Kharif,Adilabad,Boath,Horsegram,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Horsegram,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Horsegram,0,0
2017-2018,Kharif,Adilabad,Bheempur,Horsegram,0,0
2017-2018,Kharif,Adilabad,Tamsi,Horsegram,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Horsegram,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Green gram,77,22
2017-2018,Kharif,Adilabad,Mavala,Green gram,4,3
2017-2018,Kharif,Adilabad,Adilabad U,Green gram,0,0
2017-2018,Kharif,Adilabad,Jainath,Green gram,6,3
2017-2018,Kharif,Adilabad,Bela,Green gram,29,31
2017-2018,Kharif,Adilabad,Ichoda,Green gram,110,83
2017-2018,Kharif,Adilabad,Srikonda,Green gram,20,30
2017-2018,Kharif,Adilabad,Gudihathnoor,Green gram,58,47
2017-2018,Kharif,Adilabad,Utnoor,Green gram,308,124
2017-2018,Kharif,Adilabad,Inderavelly,Green gram,221,340
2017-2018,Kharif,Adilabad,Narnoor,Green gram,298,105
