year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Adilabad (Rural),Paddy,5,0
2016-2017,Rabi,Adilabad,Mavala,Paddy,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Paddy,0,2
2016-2017,Rabi,Adilabad,Jainath,Paddy,0,0
2016-2017,Rabi,Adilabad,Bela,Paddy,0,0
2016-2017,Rabi,Adilabad,Ichoda,Paddy,0,0
2016-2017,Rabi,Adilabad,Srikonda,Paddy,0,10
2016-2017,Rabi,Adilabad,Gudihathnoor,Paddy,0,0
2016-2017,Rabi,Adilabad,Utnoor,Paddy,20,7
2016-2017,Rabi,Adilabad,Inderavelly,Paddy,0,0
2016-2017,Rabi,Adilabad,Narnoor,Paddy,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Paddy,0,0
2016-2017,Rabi,Adilabad,Boath,Paddy,0,3
2016-2017,Rabi,Adilabad,Bazarhatnoor,Paddy,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Paddy,0,0
2016-2017,Rabi,Adilabad,Bheempur,Paddy,0,0
2016-2017,Rabi,Adilabad,Tamsi,Paddy,1,0
2016-2017,Rabi,Adilabad,Talamadugu,Paddy,1,7
2016-2017,Rabi,Adilabad,Adilabad (Rural),Wheat,17,34
2016-2017,Rabi,Adilabad,Mavala,Wheat,0,19
2016-2017,Rabi,Adilabad,Adilabad (Urban),Wheat,0,0
2016-2017,Rabi,Adilabad,Jainath,Wheat,87,95
2016-2017,Rabi,Adilabad,Bela,Wheat,139,93
2016-2017,Rabi,Adilabad,Ichoda,Wheat,207,149
2016-2017,Rabi,Adilabad,Srikonda,Wheat,0,68
2016-2017,Rabi,Adilabad,Gudihathnoor,Wheat,148,106
2016-2017,Rabi,Adilabad,Utnoor,Wheat,440,222
2016-2017,Rabi,Adilabad,Inderavelly,Wheat,194,170
2016-2017,Rabi,Adilabad,Narnoor,Wheat,231,176
2016-2017,Rabi,Adilabad,Gadiguda,Wheat,0,61
2016-2017,Rabi,Adilabad,Boath,Wheat,145,97
2016-2017,Rabi,Adilabad,Bazarhatnoor,Wheat,122,70
2016-2017,Rabi,Adilabad,Neradigonda,Wheat,208,170
2016-2017,Rabi,Adilabad,Bheempur,Wheat,0,67
2016-2017,Rabi,Adilabad,Tamsi,Wheat,70,42
2016-2017,Rabi,Adilabad,Talamadugu,Wheat,47,39
2016-2017,Rabi,Adilabad,Adilabad (Rural),Jowar,,108
2016-2017,Rabi,Adilabad,Mavala,Jowar,0,72
2016-2017,Rabi,Adilabad,Adilabad (Urban),Jowar,0,0
2016-2017,Rabi,Adilabad,Jainath,Jowar,103,138
2016-2017,Rabi,Adilabad,Bela,Jowar,59,55
2016-2017,Rabi,Adilabad,Ichoda,Jowar,168,126
2016-2017,Rabi,Adilabad,Srikonda,Jowar,0,73
2016-2017,Rabi,Adilabad,Gudihathnoor,Jowar,94,137
2016-2017,Rabi,Adilabad,Utnoor,Jowar,476,241
2016-2017,Rabi,Adilabad,Inderavelly,Jowar,195,271
2016-2017,Rabi,Adilabad,Narnoor,Jowar,220,201
2016-2017,Rabi,Adilabad,Gadiguda,Jowar,0,127
2016-2017,Rabi,Adilabad,Boath,Jowar,271,219
2016-2017,Rabi,Adilabad,Bazarhatnoor,Jowar,62,56
2016-2017,Rabi,Adilabad,Neradigonda,Jowar,108,179
2016-2017,Rabi,Adilabad,Bheempur,Jowar,0,287
2016-2017,Rabi,Adilabad,Tamsi,Jowar,239,172
2016-2017,Rabi,Adilabad,Talamadugu,Jowar,68,156
2016-2017,Rabi,Adilabad,Adilabad (Rural),Maize,2,23
2016-2017,Rabi,Adilabad,Mavala,Maize,0,2
2016-2017,Rabi,Adilabad,Adilabad (Urban),Maize,0,0
2016-2017,Rabi,Adilabad,Jainath,Maize,1,0
2016-2017,Rabi,Adilabad,Bela,Maize,0,0
2016-2017,Rabi,Adilabad,Ichoda,Maize,125,112
2016-2017,Rabi,Adilabad,Srikonda,Maize,0,50
2016-2017,Rabi,Adilabad,Gudihathnoor,Maize,88,52
2016-2017,Rabi,Adilabad,Utnoor,Maize,104,97
2016-2017,Rabi,Adilabad,Inderavelly,Maize,42,114
2016-2017,Rabi,Adilabad,Narnoor,Maize,31,53
2016-2017,Rabi,Adilabad,Gadiguda,Maize,0,18
2016-2017,Rabi,Adilabad,Boath,Maize,244,161
2016-2017,Rabi,Adilabad,Bazarhatnoor,Maize,206,188
2016-2017,Rabi,Adilabad,Neradigonda,Maize,158,333
2016-2017,Rabi,Adilabad,Bheempur,Maize,0,15
2016-2017,Rabi,Adilabad,Tamsi,Maize,8,13
2016-2017,Rabi,Adilabad,Talamadugu,Maize,7,8
2016-2017,Rabi,Adilabad,Adilabad (Rural),Horsegram,0,
2016-2017,Rabi,Adilabad,Mavala,Horsegram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Horsegram,0,0
2016-2017,Rabi,Adilabad,Jainath,Horsegram,0,0
2016-2017,Rabi,Adilabad,Bela,Horsegram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Horsegram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Horsegram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Horsegram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Horsegram,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Horsegram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Horsegram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Horsegram,0,0
2016-2017,Rabi,Adilabad,Boath,Horsegram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Horsegram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Horsegram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Horsegram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Horsegram,0,1
2016-2017,Rabi,Adilabad,Talamadugu,Horsegram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Green gram,0,0
2016-2017,Rabi,Adilabad,Mavala,Green gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Green gram,0,0
2016-2017,Rabi,Adilabad,Jainath,Green gram,0,0
2016-2017,Rabi,Adilabad,Bela,Green gram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Green gram,0,5
2016-2017,Rabi,Adilabad,Srikonda,Green gram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Green gram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Green gram,7,0
2016-2017,Rabi,Adilabad,Inderavelly,Green gram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Green gram,1,0
2016-2017,Rabi,Adilabad,Gadiguda,Green gram,0,0
2016-2017,Rabi,Adilabad,Boath,Green gram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Green gram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Green gram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Green gram,0,3
2016-2017,Rabi,Adilabad,Tamsi,Green gram,5,0
2016-2017,Rabi,Adilabad,Talamadugu,Green gram,0,11
2016-2017,Rabi,Adilabad,Adilabad (Rural),Black gram,0,0
2016-2017,Rabi,Adilabad,Mavala,Black gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Black gram,0,0
2016-2017,Rabi,Adilabad,Jainath,Black gram,0,0
2016-2017,Rabi,Adilabad,Bela,Black gram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Black gram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Black gram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Black gram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Black gram,0,0
2016-2017,Rabi,Adilabad,Boath,Black gram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Black gram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Black gram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Black gram,6,0
2016-2017,Rabi,Adilabad,Talamadugu,Black gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Redgram,0,0
2016-2017,Rabi,Adilabad,Mavala,Redgram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Redgram,0,0
2016-2017,Rabi,Adilabad,Jainath,Redgram,0,0
2016-2017,Rabi,Adilabad,Bela,Redgram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Redgram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Redgram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Redgram,1,1
2016-2017,Rabi,Adilabad,Inderavelly,Redgram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Redgram,0,0
2016-2017,Rabi,Adilabad,Boath,Redgram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Redgram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Redgram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Redgram,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Redgram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Bengal gram,443,502
2016-2017,Rabi,Adilabad,Mavala,Bengal gram,0,11
2016-2017,Rabi,Adilabad,Adilabad (Urban),Bengal gram,0,6
2016-2017,Rabi,Adilabad,Jainath,Bengal gram,2307,4190
2016-2017,Rabi,Adilabad,Bela,Bengal gram,1269,2455
2016-2017,Rabi,Adilabad,Ichoda,Bengal gram,817,431
2016-2017,Rabi,Adilabad,Srikonda,Bengal gram,0,141
2016-2017,Rabi,Adilabad,Gudihathnoor,Bengal gram,429,691
2016-2017,Rabi,Adilabad,Utnoor,Bengal gram,389,300
2016-2017,Rabi,Adilabad,Inderavelly,Bengal gram,407,954
2016-2017,Rabi,Adilabad,Narnoor,Bengal gram,351,0
2016-2017,Rabi,Adilabad,Gadiguda,Bengal gram,0,157
2016-2017,Rabi,Adilabad,Boath,Bengal gram,1202,1293
2016-2017,Rabi,Adilabad,Bazarhatnoor,Bengal gram,1004,1238
2016-2017,Rabi,Adilabad,Neradigonda,Bengal gram,321,558
2016-2017,Rabi,Adilabad,Bheempur,Bengal gram,0,245
