,Crop,Area Kharif,Area Rabi,Area Total,Production Kharif,Production Rabi,Production Total,Yeild Kharif,Yeild Rabi,Yeild Total
0,Cotton,14.09,0,14.09,34.44,0,34.44,416.0,0,416
1,Sugarcane,0.26,0,0.26,20.6,0,20.6,79157.0,0,79157
2,Onion,0.06,0.09,0.15,0.93,3.09,4.02,15098.0,32843,25833
3,Potato,N,0.03,0.03,0.01,0.32,0.33,10946.0,10143,10152
4,Chillies,1.10,0.14,1.24,4.02,0.81,4.83,3662.0,5543,3884
5,Turmeric,0.51,N,0.51,3.05,N,3.05,6033.0,6044,6033
6,Tobacco,0.03,0.04,0.07,0.07,0.12,0.19,2724.0,2955,2864
7,Rice,8.89,9.39,18.28,30.29,35.70,65.99,3405.0,3801,3609
8,Wheat,0.0,0.05,0.05,0.0,0.08,0.08,0.0,1528,1528
9,Jowar,0.62,0.28,0.9,0.55,0.33,0.88,881.0,1190,977
10,Bajra,0.03,0.14,0.17,0.03,0.12,0.15,869.0,869,869
11,Maize,6.36,1.66,8.02,17.57,11.25,28.82,2760.0,6805,3595
12,Ragi,0.01,N,0.01,0.01,N,0.01,1159.0,1152,1157
13,Total Major Millets,7.02,2.08,9.1,18.16,11.70,29.86,2584.0,5654,3283
14,Small Millets,0.01,N,0.01,0.01,N,0.01,798.0,798,798
15,Total Cereals & Millets,15.92,11.52,27.44,48.46,47.48,95.94,3042.0,4124,3496
16,Ground nut,0.27,1.40,1.67,0.52,2.90,3.42,1934.0,2068,2047
17,Castor,0.44,0.01,0.45,0.26,N,0.26,590.0,584,590
18,Seasamum,0.03,0.18,0.21,0.01,0.14,0.15,134.0,803,699
19,Soyabean,2.77,N,2.77,3.22,N,3.22,1166.0,975,1166
20,Sunflower,0.01,0.05,0.06,0.01,0.09,0.10,755.0,1974,1627
21,Rapeseed & Mustard,0,0.03,0.03,0,0.05,0.05,0.0,1638,1638
22,Linseed,0,N,N,0,N,N,0.0,290,290
23,Safflower,N,0.04,0.04,N,0.03,0.03,1017.0,663,663
24,Total oil seeds,3.52,1.71,5.23,4.02,3.21,7.23,1141.0,1882,1383
25,Redgram,3.86,0.01,3.87,2.61,0.01,2.62,676.0,867,677
26,Blackgram,0.41,0.11,0.52,0.34,0.09,0.43,818.0,826,820
27,Greengram,1.35,0.11,1.46,0.82,0.10,0.92,610.0,903,632
28,Horsegram,N,0.01,0.01,N,0.01,0.01,383.0,383,383
29,Bengalgram,0.00,1.02,1.02,0.00,1.32,1.32,0.0,1299,1299
30,Cowgram,0.01,0.05,0.06,0.01,0.05,0.06,612.0,1067,986
31,Rajma Beans,0.00,0.01,0.01,0.00,N,N,0.0,622,622
32,Anumulu,N,N,N,N,N,N,444.0,194,427
33,Yerrapappu,0,N,N,0,N,N,0.0,528,528
34,Total Pulses,5.63,1.32,6.95,3.78,1.58,5.36,670.0,1202,771
